ref,codigo,descripcion,valor,tipo
902023,906814,"FAGOCITOSIS, ESTUDIO (CITOMETRIA DE FLUJO)",43600,diagnostico
906814,M19424,FENCICLIDINA,11750,diagnostico
905308,908109,"FENILALANINA, CUANTITATIVA EN ORINA O SANGRE",4840,diagnostico
908109,905210,FENITOÍNA LIBRE,32680,diagnostico
905210,905213,"FENITOÍNA TOTAL, SEMICUANTITATIVO POR INMUNOENSAYO O CROMATOGRAFÍA DE CAPA FINA",22370,diagnostico
905213,905216,"FENOBARBITAL, SEMICUANTITATIVO POR INMUNOENSAYO O CROMATOGRAFÍA DE CAPA FINA",22370,diagnostico
905216,905310,"FENOTIAZINAS EN SUERO, ORINA Y LAVADO GASTRÍCO, SEMICUANTITATIVA POR CROMATOGRAFÍA DE CAPA FINA",12800,diagnostico
905310,911014,"FENOTIPAGE, FACTOR Rh [C, c, E, e] EN LAMINA O TUBO",12585,diagnostico
911014,911013,"FENOTIPAGE, FACTOR Rh [C, c, E, e] POR MICROTÉCNICA",12585,diagnostico
911013,903016,FERRITINA,16145,diagnostico
903016,M19437,E19437,4570,diagnostico
1921350,902024,"FIBRINOGENO, COAGULACIÓN",5855,diagnostico
902024,E19443,FIBRINOLISINAS,3330,diagnostico
1922650,903830,FOSFATASA ACIDA,3930,diagnostico
903830,M19449,FOSFATASA ÁCIDA DETERMINACIÓN EN LEUCOCITOS,30720,diagnostico
1924570,903832,"FOSFATASA ACIDA, FRACCIÓN PROSTÁTICA POR EIA/RIA",16790,diagnostico
903832,903833,FOSFATASA ALCALINA,3805,diagnostico
903833,M19455,FOSFATASA ALCALINA DETERMINACIÓN EN LEUCOCITOS,13675,diagnostico
1932665,903834,FOSFATASA ALCALINA ESPECÍFICA DE HUESO,45780,diagnostico
903834,906422,"FOSFOLÍPIDOS, ANTICUERPOS Ig G POR EIA (117)",89010,diagnostico
906422,906423,"FOSFOLÍPIDOS, ANTICUERPOS Ig M POR EIA (117)",89010,diagnostico
906423,903835,FÓSFORO INORGÁNICO [FOSFATOS],3900,diagnostico
903835,903836,FÓSFORO INORGÁNICO [FOSFATOS] EN ORINA DE 24 H,7915,diagnostico
903836,903837,FRACCIÓN EXCRETADA DE SODIO [FENA],30400,diagnostico
903837,902107,FRAGILIDAD OSMÓTICA DE ERITROCITOS,3660,diagnostico
902107,907005,FROTIS RECTAL [IDENTIFICACIÓN DE TROFOZOITOS],3125,diagnostico
907005,903425,FRUCTOSAMINA,8370,diagnostico
903425,903301,GALACTOSA,7920,diagnostico
903301,908302,"GALACTOSA, CURVA DE TOLERANCIA",18465,diagnostico
908302,903838,GAMMA GLUTAMIL TRANSFERASA [GGT],9760,diagnostico
903838,906116,"Gardia lamblia, ANTICUERPOS Ig G",53185,diagnostico
906116,903839,GASES ARTERIALES (EN REPOSO O EN EJERCICIO),12690,diagnostico
903839,906624,GASTRINA,28945,diagnostico
906624,905405,"GENTAMICINA, SEMICUANTITATIVA POR INMUNOENSAYO",18505,diagnostico
905405,904901,GLOBULINA TRANSPORTADORA DE TIROXINA [TBG],23420,diagnostico
904901,M19275,GLUCOMETRÍA,2570,diagnostico
1931390,902108,"GLUCOSA 6 FOSFATO DESHIDROGENASA, CUALITATIVA",15500,diagnostico
902108,902109,"GLUCOSA 6 FOSFATO DESHIDROGENASA, CUANTITATIVA",26715,diagnostico
902109,903840,GLUCOSA EN ORINA,3125,diagnostico
903840,903841,"GLUCOSA EN SUERO, LCR U OTRO FLUIDO DIFERENTE A ORINA",3095,diagnostico
903841,903842,GLUCOSA PRE Y POST CARGA DE GLUCOSA (232),10040,diagnostico
903842,903843,GLUCOSA PRE Y POST PRANDIAL,8575,diagnostico
903843,903844,"GLUCOSA, CURVA DE TOLERANCIA (POR MUESTRA) (115)",6695,diagnostico
903844,903845,"GLUCOSA, TEST O’ SULLIVAN",5320,diagnostico
903845,904508,"GONADOTROPINA CORIÓNICA, SUBUNIDAD BETA CUALITATIVA, [BHCG] PRUEBA DE EMBARAZO EN ORINA O SUERO",14960,diagnostico
904508,906625,"GONADOTROPINA CORIÓNICA, SUBUNIDAD BETA CUANTITATIVA [BHCG]",17565,diagnostico
906625,907006,GRASAS NEUTRAS EN HECES [SUDAN III],5940,diagnostico
907006,903020,HAPTOGLOBINA POR IDR,8390,diagnostico
903020,903021,HAPTOGLOBINA POR NEFELOMETRÍA,23435,diagnostico
903021,906022,"Helicobacter pylori, ANTICUERPOS Ig A",29975,diagnostico
906022,906023,"Helicobacter pylori, ANTICUERPOS Ig G",29975,diagnostico
906023,906024,"Helicobacter pylori, ANTICUERPOS Ig M",29975,diagnostico
906024,906025,"Helicobacter pylori, ANTICUERPOS TOTALES",30720,diagnostico
906025,901220,"Helicobacter pylori, CULTIVO",30720,diagnostico
901220,902211,HEMATOCRITO,1425,diagnostico
902211,911016,HEMOCLASIFICACIÓN FACTOR Rh [FACTOR D] EN LÁMINA O TUBO,2645,diagnostico
911016,902212,HEMOCLASIFICACIÓN GRUPO ABO Y FACTOR Rh,4200,diagnostico
902212,911018,"HEMOCLASIFICACIÓN GRUPO ABO, DIRECTA O GLOBULAR EN PLACA",4200,diagnostico
911018,911020,"HEMOCLASIFICACIÓN GRUPO ABO, INVERSA O SÉRICA EN TUBO",8510,diagnostico
911020,901221,HEMOCULTIVO AEROBIO POR MÉTODO AUTOMÁTICO (111),30400,diagnostico
901221,901222,HEMOCULTIVO AEROBIO POR MÉTODO MANUAL (111),27085,diagnostico
901222,901223,HEMOCULTIVO ANAEROBIO POR MÉTODO AUTOMÁTICO (111),45585,diagnostico
901223,901224,HEMOCULTIVO ANAEROBIO POR MÉTODO MANUAL (111),32340,diagnostico
901224,902213,HEMOGLOBINA,1980,diagnostico
902213,902110,HEMOGLOBINA A 2 POR CROMATOGRAFIA,15935,diagnostico
902110,902111,HEMOGLOBINA FETAL,2810,diagnostico
902111,903426,HEMOGLOBINA GLICOSILADA POR ANTICUERPOS MONOCLONALES,19545,diagnostico
903426,903427,HEMOGLOBINA GLICOSILADA POR CROMATOGRAFÍA DE COLUMNA,14925,diagnostico
903427,902113,HEMOGLOBINA LIBRE EN PLASMA,9895,diagnostico
902113,M19527,HEMOGLOBINA MATERNA Y FETAL [KLEIN HAVER],7070,diagnostico
902114,902207,"HEMOGRAMA I [HEMOGLOBINA, HEMATOCRITO Y LEUCOGRAMA] METODO MANUAL",6490,diagnostico
902207,902208,"HEMOGRAMA II [HEMOGLOBINA, HEMATOCRITO, RECUENTO DE ERITROCITOS, ÍNDICES ERITROCITARIOS, LEUCOGRAMA, RECUENTO DE PLAQUETAS E INDICES PLAQUETARIOS] METODO MANUAL Y SEMIAUTOMATICO",8850,diagnostico
902208,902209,"HEMOGRAMA III [HEMOGLOBINA, HEMATOCRITO, RECUENTO DE ERITROCITOS, ÍNDICES ERITROCITARIOS, LEUCOGRAMA, RECUENTO DE PLAQUETAS, INDICES PLAQUETARIOS Y MORFOLOGIA ELECTRONICA] METODO AUTOMATICO",10270,diagnostico
902209,902210,"HEMOGRAMA IV [HEMOGLOBINA, HEMATOCRITO, RECUENTO DE ERITROCITOS,INDICES ERITROCITARIOS,LEUCOGRAMA,RECUENTO DE PLAQUETAS,INDICES PLAQUETARIOS Y MORFOLOGIA ELECTRONICA E HISTOGRAMA] METODO AUTOMATICO (233)",11015,diagnostico
902210,M19533,E19533,11100,diagnostico
1931520,902115,HEMÓLISIS ACIDA [PRUEBA DE HAM],5170,diagnostico
902115,902214,"HEMOPARASITOS, EXTENDIDO DE GOTA GRUESA *",6390,diagnostico
902214,902215,"HEMOPARASITOS, EXTENDIDO DE SANGRE PERIFÉRICA *",3095,diagnostico
902215,903428,HEMOSIDERINA EN ORINA,15955,diagnostico
903428,902025,"HEPARINA, DOSIFICACIÓN POR COAGULACIÓN",3020,diagnostico
902025,902026,"HEPARINA, DOSIFICACIÓN POR CROMÓGENOS",35605,diagnostico
902026,906218,"Hepatitis A, ANTICUERPOS Ig M [ANTI HVA-M] *",26580,diagnostico
906218,906219,"Hepatitis A, ANTICUERPOS TOTALES [ANTI HVA]",25930,diagnostico
906219,906220,"Hepatitis B, ANTICUERPOS CENTRAL Ig M [ANTI-CORE HBc-M]",28300,diagnostico
906220,906221,"Hepatitis B, ANTICUERPOS CENTRAL TOTALES [ANTI-CORE HBC] & *",25930,diagnostico
906221,906222,"Hepatitis B, ANTICUERPOS E [ANTI-HBe]",25930,diagnostico
906222,906223,"Hepatitis B, ANTICUERPOS S [ANTI-HBS] *",27440,diagnostico
906223,906317,"Hepatitis B, ANTÍGENO DE SUPERFICIE [Ag HBS] & *",24430,diagnostico
906317,906318,"Hepatitis B, ANTÍGENO e [Ag HBe]",25930,diagnostico
906318,906815,"Hepatitis B, CARGA VIRAL",355415,diagnostico
906815,906225,"Hepatitis C, ANTICUERPO [ANTI-HVC] & *",36585,diagnostico
906225,906817,"Hepatitis C, CARGA VIRAL",188495,diagnostico
906817,906226,"Hepatitis delta, ANTICUERPOS [ANTI-HVD]",26580,diagnostico
906226,M19558,"Hepatitis delta, ANTÍGENO [Ag HVD]",30575,diagnostico
906319,906228,"Herpes I, ANTICUERPOS Ig G",21300,diagnostico
906228,906229,"Herpes I, ANTICUERPOS Ig M",23885,diagnostico
906229,906230,"Herpes II, ANTICUERPOS Ig G",21300,diagnostico
906230,906231,"Herpes II, ANTICUERPOS Ig M",38705,diagnostico
906231,906320,"Herpes simplex, ANTÍGENOS",20340,diagnostico
906320,905723,"HIDROCARBUROS, SEMICUANTITATIVO POR COLORIMETRIA",10090,diagnostico
905723,904811,"HIDROXICORTICOSTEROIDES, 17 [17 OHCS]",9450,diagnostico
904811,904402,"HIDROXIPROGESTERONA 17 ALFA, PRE Y POST ACTH",63220,diagnostico
904402,904509,HIDROXIPROGESTERONA 17ALFA,27440,diagnostico
904509,902116,HIERRO MEDULAR,13790,diagnostico
902116,903846,HIERRO TOTAL,17220,diagnostico
903846,908606,HIPOXANTINA GUANINA FOSFORIBOSIL TRANSFERASA [HGPRT] EN ERITROCITOS O LEUCOCITOS -ENF. LESCH NYHAN-,51230,diagnostico
908606,908607,HIPOXANTINA GUANINA FOSFORIBOSIL TRANSFERASA [HGPRT] EN RAÍCES DE CABELLO -ENF. LESH NYHAN-,102470,diagnostico
908607,906501,"HISTOCOMPATIBILIDAD, ANTÍGENO A, B, C [CLASE I]",161310,diagnostico
906501,906502,"HISTOCOMPATIBILIDAD, ANTÍGENO A, B, C, DR, DQ [CLASE I Y II]",307730,diagnostico
906502,906504,"HISTOCOMPATIBILIDAD, ANTÍGENO DR POR CITOMETRÍA DE FLUJO",32695,diagnostico
906504,906505,"HISTOCOMPATIBILIDAD, ANTÍGENO DR, DQ [CLASE II] POR PCR-SSP",343330,diagnostico
906505,906506,"HISTOCOMPATIBILIDAD, ANTÍGENO DR, DQ [CLASE II] POR SEROLOGÍA",153475,diagnostico
906506,M19150,HISTOGRAMA DE ERITROCITOS EN ORINA,9875,diagnostico
1935970,906118,"Histoplasma capsulatum, ANTICUERPOS POR EIA",39640,diagnostico
906118,906507,"HLA B-27, ANTÍGENO POR CITOMETRÍA DE FLUJO",91555,diagnostico
906507,906508,"HLA B-27, ANTÍGENO POR SEROLOGÍA",72290,diagnostico
906508,906509,"HLA CITOTÓXICOS, ANTICUERPOS POR CITOMETRÍA DE FLUJO",174395,diagnostico
906509,906510,"HLA CITOTÓXICOS, ANTICUERPOS POR SEROLOGÍA",87680,diagnostico
906510,906119,"HONGOS, ANTICUERPOS TOTALES POR SEROLÓGIA, FIJACIÓN DE COMPLEMENTO",16680,diagnostico
906119,904103,HORMONA ADRENOCORTICOTRÓPICA [ACTH],20450,diagnostico
904103,904104,HORMONA DE CRECIMIENTO O SOMATOTRÓPICA,27650,diagnostico
904104,904202,HORMONA DEL CRECIMIENTO PRE Y POST EJERCICIO,33405,diagnostico
904202,904201,HORMONA DEL CRECIMIENTO PRE Y POST EJERCICIO (POR MUESTRA),33405,diagnostico
904201,904902,HORMONA ESTIMULANTE DEL TIROIDES [TSH],23990,diagnostico
904902,904903,HORMONA ESTIMULANTE DEL TIROIDES [TSH] NEONATAL,22475,diagnostico
904903,904904,HORMONA ESTIMULANTE DEL TIROIDES [TSH] ULTRASENSIBLE,30965,diagnostico
904904,904905,HORMONA ESTIMULANTE DEL TIROIDES PRE Y POST ESTIMULACIÓN (417),27525,diagnostico
904905,904906,"HORMONA ESTIMULANTE DEL TIROIDES PRE Y POST ESTIMULACIÓN, ULTRASENSIBLE (417)",30965,diagnostico
904906,904105,HORMONA FOLÍCULO ESTIMULANTE [FSH],27680,diagnostico
904105,904106,HORMONA FOLÍCULO ESTIMULANTE Y HORMONA LUTEINIZANTE PRE Y POST HORMONA LIBERADORA DE GONADOTROPINA,226715,diagnostico
904106,904107,HORMONA LUTEINIZANTE [LH],28945,diagnostico
904107,904911,HORMONA PARATIROIDEA C TERMINAL,53285,diagnostico
904911,904912,HORMONA PARATIROIDEA MOLÉCULA INTACTA,53285,diagnostico
904912,904913,HORMONA PARATIROIDEA MOLÉCULA MEDIA [PARATOHORMONA PTH],53285,diagnostico
904913,904914,HORMONA PARATIROIDEA N TERMINAL,53285,diagnostico
904914,906232,"HTLV-I Y II, ANTICUERPOS [ANTI HTLV-I] TOTALES &",25930,diagnostico
906232,M19588,"HTLV-I Y II, ANTICUERPOS [ANTI HTLV-I] TOTALES CONFIRMATIVO",38625,diagnostico
906233,902027,INHIBIDOR DEL ACTIVADOR DE PLASMINÓGENO [PAI 1],35605,diagnostico
902027,906823,INHIBIDORES DE ESTERASAS DE C1Q,13675,diagnostico
906823,906824,INMUNOELECTROFORESIS DE CUALQUIER MUESTRA,12260,diagnostico
906824,906825,"INMUNOFIJACIÓN DE PROTEÍNAS [GAMMAGLOBULINAS] EN ORINA, SUERO O LCR",91180,diagnostico
906825,906826,INMUNOGLOBULINA A [IgA] CUANTITATIVA POR IDR,13585,diagnostico
906826,906827,INMUNOGLOBULINA A [IgA] CUANTITATIVA POR NEFELOMETRÍA,26710,diagnostico
906827,M19605,INMUNOGLOBULINA D [Ig D] DOSIFICACIÓN,17535,diagnostico
906833,906834,INMUNOGLOBULINA E [Ig E] ESPECÍFICA [DOSIFICACIÓN CADA ALERGENO- RAST],21955,diagnostico
906834,906835,INMUNOGLOBULINA E [Ig E] TOTAL POR EIA,19050,diagnostico
906835,906836,INMUNOGLOBULINA E [Ig E] TOTAL POR RIA,19050,diagnostico
906836,906828,INMUNOGLOBULINA G [IgG] CUANTITATIVA POR IDR,13585,diagnostico
906828,906829,INMUNOGLOBULINA G [IgG] CUANTITATIVA POR NEFELOMETRÍA,26710,diagnostico
906829,906831,INMUNOGLOBULINA M [IgM] CUANTITATIVA POR IDR,13585,diagnostico
906831,906832,INMUNOGLOBULINA M [IgM] CUANTITATIVA POR NEFELOMETRÍA,26710,diagnostico
906832,906837,"INMUNOGLOBULINAS CADENAS LIVIANAS KAPPA Y LAMBDA, CUANTITATIVA POR NEFELOMETRÍA PARA CUALQUIER MUESTRA",33435,diagnostico
906837,904704,INSULINA [CADA MUESTRA],24210,diagnostico
904704,904705,INSULINA LIBRE,23665,diagnostico
904705,904702,INSULINA PRE Y POST GLUCOSA,50310,diagnostico
904702,906425,"INSULINA, ANTICUERPOS [IAA] POR RIA",18010,diagnostico
906425,906426,"INSULINA, ANTICUERPOS ISLOTES [ICA]",23330,diagnostico
906426,904703,"INSULINA, CURVA [CINCO MUESTRAS]",118520,diagnostico
904703,901402,"INTRADERMOREACCION PARA COMPROBAR INMUNIDAD CONTRA BACTERIAS, HONGOS, PARASITOS O VIRUS",37995,diagnostico
901402,903605,"IONOGRAMA [CLORO, SODIO, POTASIO Y BICARBONATO O CALCIO]",21760,diagnostico
903605,903606,IONTOFORESIS [CLORO],35720,diagnostico
903606,M19613,ISOAGLUTININAS,8705,diagnostico
906427,M19617,ISOCITRATO DESHIDROGENASA [ICDH]),18605,diagnostico
903429,M19618,ISOLEUCOAGLUTININAS,9685,diagnostico
906428,906429,"Jo1, ANTICUERPOS POR EIA",33435,diagnostico
906429,905406,"KANAMICINA, SEMICUANTITATIVA POR CROMATOGRAFÍA DE CAPA FINA",12920,diagnostico
905406,M19629,E19629,21980,diagnostico
1935100,906430,"La/SSB, ANTICUERPOS POR EIA",30455,diagnostico
906430,M19625,E19625,21650,diagnostico
903024,906028,"Legionella pneumoniae, ANTICUERPOS POR IFI",32600,diagnostico
906028,M19632,"Legionella, ANTÍGENO",40690,diagnostico
906322,901228,"Legionella, CULTIVO",30720,diagnostico
901228,M19636,"LEISHMANIASIS, DETERMINACIÓN AC",5170,diagnostico
901311,M19641,LEUCINA ANIMOPEPTIDASA [LAP],21105,diagnostico
903430,906702,"LEUCOCITOS CD14 MONOCITOS, GRANULOCITOS POR CITOMETRÍA DE FLUJO",32695,diagnostico
906702,906704,"LEUCOCITOS CD33 MONOCITOS, GRANULOCITOS POR CITOMETRÍA DE FLUJO",32695,diagnostico
906704,906706,LEUCOCITOS CD34 CÉLULAS PROGENITORAS POR CITOMETRÍA DE FLUJO,51230,diagnostico
906706,906709,LEUCOCITOS CD45 LEUCOCITOS TOTALES POR INMUNOHISTOQUÍMICA,32695,diagnostico
906709,902216,LEUCOGRAMA [RECUENTO TOTAL Y DIFERENCIAL],2680,diagnostico
902216,905002,LIDOCAINA [MONOETILGLICINEXILIDIDA-MEGX] SEMICUANTITATIVO POR INMUNOENSAYO O CROMATOGRAFÍA DE CAPA FINA,12920,diagnostico
905002,906711,"LINFOCITOS B, CUANTIFICACIÓN [TOTALES CD19 Y MADUROS CD20] POR CITOMETRÍA DE FLUJO",32695,diagnostico
906711,906722,LINFOCITOS CD10 LINFOCITOS PRE-B [CALLA] POR CITOMETRÍA DE FLUJO,32695,diagnostico
906722,M19658,LINFOCITOS CD11 POR CITOMETRÍA DE FLUJO,44065,diagnostico
906724,M19658,LINFOCITOS CD11 POR INMUNOHISTOQUÍMICA,44065,diagnostico
906725,906730,LINFOCITOS CD16 LINFOCITOS NK POR CITOMETRÍA DE FLUJO,32695,diagnostico
906730,906736,"LINFOCITOS CD38 LINFOCITOS T ACTIVADOS Y B, LINFOCITOS NK POR CITOMETRÍA DE FLUJO",32695,diagnostico
906736,906738,LINFOCITOS CD56 LINFOCITOS NK POR CITOMETRÍA DE FLUJO,32695,diagnostico
906738,906718,LINFOCITOS CD7 LINFOCITOS T Y NK POR CITOMETRÍA DE FLUJO,32695,diagnostico
906718,906712,LINFOCITOS T CD3 POR CITOMETRÍA DE FLUJO,51540,diagnostico
906712,906713,LINFOCITOS T CD3 POR INMUNOFLUORESCENCIA,27255,diagnostico
906713,906714,LINFOCITOS T CD4 POR CITOMETRÍA DE FLUJO,51540,diagnostico
906714,906715,LINFOCITOS T CD4 POR INMUNOFLUORESCENCIA,38310,diagnostico
906715,906720,LINFOCITOS T CD8 POR CITOMETRÍA DE FLUJO,51540,diagnostico
906720,906721,LINFOCITOS T CD8 POR INMUNOFLUORESCENCIA,38310,diagnostico
906721,906744,"LINFOCITOS T, CUANTIFICACIÓN CD3, CD4, CD8 POR CITOMETRÍA DE FLUJO",154605,diagnostico
906744,M19659,"LINFOCITOS, CULTIVO MIXTO",51540,diagnostico
1922830,903847,LIPASA,6885,diagnostico
903847,M19641,LIPOPROTEÍNA A [LpA],21105,diagnostico
903431,M19666,LIPOPROTEÍNAS - ELECTROFORESIS,35605,diagnostico
1924693,903848,"LIQUIDO AMNIOTICO [EXAMEN FÍSICO Y CITOQUÍMICO: CÉLULAS ANARANJADAS, TEST DE CLEMENS Y CREATININA]",20275,diagnostico
903848,903501,"LIQUIDO AMNIÓTICO, CURVA ESPECTRAL O DE LILEY",9145,diagnostico
903501,903502,"LÍQUIDO AMNIOTICO, INDICE DE MADUREZ FETAL PULMONAR [LECITINA-ESFINGOMIELINA O SULFACTANTE/ALBÚMINA,FOSFATIDIL GLICEROL, RECUENTO DE CELULAS LAMELARES O ESPECTOFOTMETRIA 650 nm]",27440,diagnostico
903502,903849,LIQUIDO ASCÍTICO [EXAMEN FÍSICO Y CITOQUÍMICO],17930,diagnostico
903849,903850,"LÍQUIDO CEFALORRAQUIDEO [LCR, EXAMEN FÍSICO Y CITOQUÍMICO CON GLUCOSA, PROTEÍNAS, MORFOLOGÍA DE ERITROCITOS Y DIFERENCIAL DE LEUCOCITOS]",16305,diagnostico
903850,903503,LIQUIDO PERICÁRDICO [EXAMEN FÍSICO Y CITOQUÍMICO CON DENSIDAD Y PROTEÍNAS],20575,diagnostico
903503,903851,"LÍQUIDO PERITONEAL [EXAMEN FÍSICO Y CITOQUÍMICO CON DETECCIÓN DE ERITROCITOS, RECUENTO Y MORFOLOGÍA DE LEUCOCITOS, GLUCOSA, PROTEÍNAS Y AMILASA]",20575,diagnostico
903851,903852,"LIQUIDO PLEURAL [EXAMEN FÍSICO Y CITOQUÍMICO CON RECUENTO Y MORFOLOGÍA DE LEUCOCITOS, GLUCOSA Y LDH]",20575,diagnostico
903852,903853,"LIQUIDO SINOVIAL [EXAMEN FÍSICO Y CITOQUÍMICO CON RECUENTO Y MORFOLOGÍA DE ERITROCITOS Y LEUCOCITOS, GLUCOSA, PROTEÍNAS Y TEST DE MUCINA]",20575,diagnostico
903853,903504,"LIQUIDO SINOVIAL [EXAMEN FÍSICO Y CITOQUÍMICO CON RECUENTO Y MORFOLOGÍA DE ERITROCITOS Y LEUCOCITOS, GLUCOSA, PROTEÍNAS, FACTOR R.A., COMPLEMENTO, TEST DE MUCINA Y ANÁLISIS CON LUZ POLARIZADA]",21560,diagnostico
903504,901312,"Listeria, SEROTIPIFICACIÓN",12450,diagnostico
901312,905312,LITIO POR FOTOMETRÍA DE LLAMA,7000,diagnostico
905312,903854,MAGNESIO,7460,diagnostico
903854,903855,MAGNESIO EN ORINA DE 24H,7460,diagnostico
903855,E19701,MEPERIDINA,14425,diagnostico
1933530,905730,MERCURIO EN CABELLO O UÑAS,22815,diagnostico
905730,905731,MERCURIO EN ORINA DE 24H O SANGRE,22815,diagnostico
905731,905733,"METACUALONA, SEMICUANTITATIVO POR CROMATOGRAFÍA DE CAPA FINA",13575,diagnostico
905733,905735,"METADONA, SEMICUANTITATIVA POR CROMATOGRAFIA DE CAPA FINA",11800,diagnostico
905735,903025,METAEPINEFRINAS EN ORINA DE 24H,11945,diagnostico
903025,902117,"METAHEMOGLOBINA, CUALITATIVA",3660,diagnostico
902117,902118,"METAHEMOGLOBINA, CUANTITATIVA",22810,diagnostico
902118,905736,"METALES PESADOS, CADA UNO POR ABSORCIÓN ATÓMICA (116)",22340,diagnostico
905736,E19724,METOTREXATE,12920,diagnostico
1936990,901229,"MICOBACTERIAS NO TUBERCULOSAS, CULTIVO",30720,diagnostico
901229,903026,MICROALBUMINURIA POR EIA,29625,diagnostico
903026,903027,MICROALBUMINURIA POR NEFELOMETRÍA,13675,diagnostico
903027,903028,MICROALBUMINURIA POR RIA,29625,diagnostico
903028,903030,MIOGLOBINA CARDÍACA,23985,diagnostico
903030,903031,MIOGLOBINA EN ORINA,5485,diagnostico
903031,906432,"MITOCONDRIA, ANTICUERPOS [AMA] POR EIA",30965,diagnostico
906432,906433,"MITOCONDRIA, ANTICUERPOS [AMA] POR IFI",15520,diagnostico
906433,906434,"MITOCONDRIA, ANTICUERPOS [AMA] POR RIA",30965,diagnostico
906434,907202,"MOCO CERVICAL, ANÁLISIS [SIMS HUHNER]",9450,diagnostico
907202,906748,MONOCITOS CD64 POR CITOMETRÍA DE FLUJO,32695,diagnostico
906748,M19620,MONONUCLEOSIS INFECCIOSA - PRUEBA EN PLACA (LÁTEX),8060,diagnostico
1932898,905738,MONÓXIDO DE CARBONO [CARBOXIHEMOGLOBINA] SEMICUANTITATIVA POR COLORIMETRIA,28340,diagnostico
905738,908507,MUCOPOLISACARIDOS [ALBÚMINA ÁCIDA Y CLORURO DE CETIL PIRIDIO],23330,diagnostico
908507,906436,"MÚSCULO LISO, ANTICUERPOS [ASMA] POR EIA",35605,diagnostico
906436,906437,"MÚSCULO LISO, ANTICUERPOS [ASMA] POR IFI",15415,diagnostico
906437,906438,"MÚSCULO LISO, ANTICUERPOS [ASMA] POR IHA",29625,diagnostico
906438,906439,"MÚSCULO LISO, ANTICUERPOS [ASMA] POR RIA",35605,diagnostico
906439,906032,"Mycobacterium tuberculosis, ANTICUERPOS POR EIA",32695,diagnostico
906032,901230,"Mycobacterium tuberculosis, CULTIVO",42045,diagnostico
901230,901313,"Mycobacterium, IDENTIFICACION",265380,diagnostico
901313,901314,"Mycobacterium, IDENTIFICACION POR PCR",265380,diagnostico
901314,901007,"Mycobacterium, PRUEBAS DE SENSIBILIDAD",45585,diagnostico
901007,M19737,"Mycoplasma neumonie, DETERMINACION DE AC.",9895,diagnostico
1936290,906035,"Mycoplasma pneumoniae, ANTICUERPOS Ig M",30400,diagnostico
906035,906036,"Mycoplasma pneumoniae, ANTICUERPOS TOTALES",24530,diagnostico
906036,901231,"Mycoplasma, CULTIVO",9340,diagnostico
901231,M19744,"Neisseria gonorrhoeae, ANTÍGENO",17515,diagnostico
906323,901232,"Neisseria gonorrhoeae, CULTIVO *",18710,diagnostico
901232,901233,"Neisseria meningitidis, CULTIVO *",37995,diagnostico
901233,901317,"Neisseria meningitidis, SEROTIPIFICACIÓN POR LÁTEX",37995,diagnostico
901317,905407,NETILMICINA,13030,diagnostico
905407,902119,NEUTRALIZACIÓN PLAQUETARIA,30720,diagnostico
902119,903856,NITROGENO UREICO [BUN] *,3665,diagnostico
903856,903857,NITROGENO UREICO [BUN] EN ORINA DE 24 H,3665,diagnostico
903857,905606,NITROPRUSIATO DE SODIO,5525,diagnostico
905606,901234,"Nocardia spp, CULTIVO HONGOS",30720,diagnostico
901234,906440,"NUCLEARES, ANTICUERPOS [ANA] POR EIA",30965,diagnostico
906440,906441,"NUCLEARES, ANTICUERPOS [ANA] POR IFI",19100,diagnostico
906441,906442,"NUCLEARES, ANTICUERPOS [ANA] POR RIA",30965,diagnostico
906442,905740,"OPIÁCEOS, SEMICUANTITATIVO POR CROMATOGRAFIA DE CAPA FINA O INMUNOENSAYO",14425,diagnostico
905740,905741,ORGANOCLORADOS,14145,diagnostico
905741,905743,"ORGANOFOSFORADOS, SEMICUANTITATIVO POR CROMATOGRAFIA DE CAPA FINA",18075,diagnostico
905743,903033,OSMOLAR(L)IDAD EN ORINA,15850,diagnostico
903033,903034,OSMOLAR(L)IDAD EN SUERO,15850,diagnostico
903034,903858,OSMOLARIDAD CÁLCULADA,16345,diagnostico
903858,903035,"OSTEOCALCINA, GLICOPROTEÍNA G1A",45585,diagnostico
903035,903036,OXALATOS EN ORINA,17265,diagnostico
903036,907007,"OXIUROS, IDENTIFICACIÓN PERIANAL [CINTA ADHESIVA O PRUEBA DE GRAHAM]",3665,diagnostico
907007,M19767,E19767,13380,diagnostico
1933173,905744,PARANITROFENOL,12920,diagnostico
905744,M19773,E19773,3590,diagnostico
1936310,906238,"Parotiditis, ANTICUERPOS Ig G POR ELISA",30400,diagnostico
906238,M19779,"PAS, TINCIÓN Y LECTURA",5810,diagnostico
1934230,904706,PÉPTIDO C,53285,diagnostico
904706,903037,PIRIDINOLINA EN ORINA,44235,diagnostico
903037,908306,PIRUVATO DESHIDROGENASA,13790,diagnostico
908306,906443,"PLAQUETARIOS, ANTICUERPOS",9875,diagnostico
906443,906444,"PLAQUETARIOS, ANTICUERPOS POR CITOMETRÍA DE FLUJO",32695,diagnostico
906444,906750,PLAQUETAS CD41 POR CITOMETRÍA DE FLUJO,32695,diagnostico
906750,902029,PLASMINÓGENO,14635,diagnostico
902029,M19105,"PM/SCL, ANTICUERPOS",39605,diagnostico
