codigo,descripcion,ref,tipo,uvr,valor
442100,DILATACION DE PILORO MEDIANTE INCISION SOD,442000,quirurgico,100.0,
449100,LIGADURA DE VARICES GASTRICAS VIA ABIERTA SOD,442100,quirurgico,150.0,
440100,VAGOTOMÍA TRONCULAR Y PILOROPLASTIA SOD,449100,quirurgico,160.0,
440200,VAGOTOMÍA SELECTIVA O SUPRASELECTIVA SOD,440100,quirurgico,120.0,
425200,ESOFAGOGASTROSTOMIA VIA INTRATORACICA Y/O CERVICAL SOD,440200,quirurgico,160.0,
425600,ESOFAGOPLASTIA CON ASCENSO DE ESTOMAGO SOD,425200,quirurgico,160.0,
436100,GASTRODUODENOSTOMÍA SOD,425600,quirurgico,160.0,
437100,GASTROYEYUNOSTOMÍA SOD,436100,quirurgico,160.0,
438300,GASTROENTEROANASTOMOSIS DERIVATIVA (DUODENO O YEYUNO) CON EXCLUSIÓN PILORICA SOD,437100,quirurgico,160.0,
439200,DERIVACION GASTROINTESTINAL EN Y DE ROUX SOD,438300,quirurgico,160.0,
443100,DERIVACION GASTRICA PROXIMAL SOD,439200,quirurgico,160.0,
348301,FISTULECTOMIA TORACICOABDOMINAL,443100,quirurgico,55.0,
348302,FISTULECTOMIA TORACICOGASTRICA,348301,quirurgico,55.0,
348303,FISTULECTOMIA TORACICOINTESTINAL,348302,quirurgico,55.0,
446300,CIERRE DE OTRA FISTULA GASTRICA SOD,348303,quirurgico,110.0,
449200,MANIPULACION INTRAOPERATORIA DE ESTÓMAGO (REDUCCIÓN DE VÓLVULO ) SOD,446300,quirurgico,100.0,
450001,EXTRACCION DE CUERPO EXTRAÑO INTESTINAL POR ENTEROTOMIA,07700,quirurgico,110.0,
460101,DUODENOSTOMÍA,450001,quirurgico,150.0,
460102,YEYUNOSTOMIA,460101,quirurgico,150.0,
460301,"EXTERIORIZACION DE INTESTINO GRUESO- CECOSTOMIA, COLOSTOMIA EN ASA O SIGMOIDOSTOMIA",460102,quirurgico,150.0,
461100,COLOSTOMIA TEMPORAL SOD,460301,quirurgico,150.0,
461200,COLOSTOMIA PERMANENTE SOD,461100,quirurgico,150.0,
462200,ILEOSTOMÍA CONTINENTE SOD,461200,quirurgico,150.0,
462400,APERTURA RETARDADA DE ILEOSTOMIA SOD,462200,quirurgico,100.0,
463100,APERTURA RETARDADA DE OTRA ENTEROSTOMIA SOD,462400,quirurgico,100.0,
464001,REMODELACIÓN DE ENTEROSTOMÍA,463100,quirurgico,100.0,
453301,RESECCIÓN INTESTINAL DE DIVERTICULOS,464001,quirurgico,120.0,
453302,RESECCIÓN INTESTINAL DE TUMOR,453301,quirurgico,120.0,
454100,RESECCION DE LESION O TEJIDO DE INTESTINO GRUESO SOD,453302,quirurgico,120.0,
449500,BAYPASS O DERIVACION O PUENTE DUODENAL PARA REFLUJO DUODENOGÁSTRICO SOD,454100,quirurgico,140.0,
456201,DUODENECTOMIA,449500,quirurgico,100.0,
456202,YEYUNECTOMIA,456201,quirurgico,100.0,
456203,ILECTOMIA,456202,quirurgico,100.0,
456300,RESECCION TOTAL DE INTESTINO DELGADO SOD,456203,quirurgico,100.0,
456400,RESECCIÓN INTESTINAL CONDUCTO ONFALOMESENTERICO SOD,456300,quirurgico,100.0,
459100,ANASTOMOSIS DE INTESTINO DELGADO A INTESTINO DELGADO SOD,456400,quirurgico,85.0,
459200,ANASTOMOSIS DE INTESTINO DELGADO AL MUÑON RECTAL SOD,459100,quirurgico,85.0,
459400,ANASTOMOSIS DE INTESTINO GRUESO A INTESTINO GRUESO SOD,459200,quirurgico,85.0,
460200,RESECCION DE SEGMENTO EXTERIORIZADO DE INTESTINO DELGADO SOD,459400,quirurgico,70.0,
460400,RESECCION DE SEGMENTO EXTERIORIZADO DE INTESTINO GRUESO SOD,460200,quirurgico,70.0,
467901,RESECCION INTESTINALY DE QUISTE POR PERITONITIS MECONIAL,460400,quirurgico,100.0,
467902,RESECCION DE DUPLICCION INTESTINAL,467901,quirurgico,100.0,
467903,ANASTOMOSIS ILEO-COLICA LATEROLATERAL POR AGANGLIOSIS,467902,quirurgico,85.0,
457200,CECECTOMIA SOD,467903,quirurgico,170.0,
457300,HEMICOLECTOMIA DERECHA SOD,457200,quirurgico,170.0,
457400,RESECCION DE COLON TRANSVERSO SOD,457300,quirurgico,170.0,
457500,HEMICOLECTOMIA IZQUIERDA SOD,457400,quirurgico,170.0,
457600,SIGMOIDECTOMIA SOD,457500,quirurgico,170.0,
457000,COLECTOMÍA PARCIAL CON COLOSTOMIA Y CIERRE DE SEGMENTO DISTAL [HARTMAN] SOD,457600,quirurgico,180.0,
457101,COLECTOMÍA PARCIAL CON COLOSTOMIA O ILEOSTOMÍA Y FÍSTULA MUCOSA,457000,quirurgico,170.0,
458100,COLECTOMÍA TOTAL CON ILEOSTOMÍA Y PROTECTOMÍA SOD,457101,quirurgico,200.0,
458000,COLECTOMÍA TOTAL CON RESECCIÓN DE ILEOTERMINAL SOD,458100,quirurgico,180.0,
458300,COLECTOMÍA TOTAL CON ANASTOMOSIS PÉLVICA SOD,458000,quirurgico,200.0,
458200,COLECTOMÍA TOTAL MÁS RESERVORIO SOD,458300,quirurgico,200.0,
459501,"ANASTOMOSIS DE INTESTINO DELGADO AL ANO, CON FORMACION DE RESERVORIO (EN ""J"", "" H"" O ""S"")",458200,quirurgico,160.0,
459301,ANASTOMOSIS DE ILEO A COLON TRANVERSO,459501,quirurgico,160.0,
471100,APENDICECTOMÍA SOD,459301,quirurgico,80.0,
471200,"APENDICECTOMÍA POR PERFORACIÓN, CON DRENAJE DE ABCESO, LIBERACIÓN DE PLASTRÓN Y/O DRENAJE DE PERITONITIS LOCALIZADA SOD",471100,quirurgico,100.0,
471300,APENDICECTOMÍA CON DRENAJE DE PERITONITIS GENERALIZADA SOD,471200,quirurgico,140.0,
467100,SUTURA DE HERIDA DE DUODENO SOD,471300,quirurgico,100.0,
467500,SUTURA DE HERIDA DE INTESTINO GRUESO SOD,467100,quirurgico,100.0,
467301,ENTERORRAFIA (UNA O MAS),467500,quirurgico,130.0,
465100,CIERRE DE ESTOMA DE INTESTINO DELGADO SOD,467301,quirurgico,110.0,
465200,CIERRE DE ESTOMA DE INTESTINO GRUESO SOD,465100,quirurgico,110.0,
487200,CIERRE DE PROCTOSTOMIA SOD,465200,quirurgico,110.0,
465101,CIERRE DE ESTOMA DE INTESTINO DELGADO POR LAPAROTOMIA,487200,quirurgico,140.0,
465201,CIERRE DE ESTOMA DE INTESTINO GRUESO POR LAPAROTOMIA,465101,quirurgico,140.0,
467200,CIERRE DE FISTULA DE DUODENO SOD,465201,quirurgico,140.0,
467400,"CIERRE DE FISTULA DE INTESTINO DELGADO, SALVO DUODENO SOD",467200,quirurgico,140.0,
467601,CIERRE DE FÍSTULA ENTEROCÓLICA ( UNA O MAS),467400,quirurgico,140.0,
578301,FISTULECTOMIA RECTO-VESICAL O RECTO-VESICO-VAGINAL (370),467601,quirurgico,150.0,
467700,CIERRE DE FÍSTULA ENTEROCUTÁNEA SOD,578301,quirurgico,140.0,
468011,REDUCCIÓN INTESTINAL SIN RESECCIÓN INTESTINAL POR LAPAROTOMÍA,467700,quirurgico,120.0,
468012,REDUCCIÓN INTESTINAL CON RESECCIÓN INTESTINAL POR LAPAROTOMÍA,468011,quirurgico,150.0,
467801,CORRECCIÓN DE ATRESIA DE INTESTINO CON PLASTIA PROXIMAL,468012,quirurgico,110.0,
467804,CORRECCIÓN DE ATRESIA DE COLON,467801,quirurgico,110.0,
468000,CORRECCION DE MALROTACION INTESTINAL SOD,467804,quirurgico,150.0,
468601,LIBERACIÓN DE ADHERENCIAS O BRIDAS EN INTESTINO POR LAPAROTOMIA,468000,quirurgico,120.0,
591100,LIBERACIÓN O LISIS DE ADHERENCIAS PERIVESICALES SOD,468601,quirurgico,120.0,
456100,RESECCION SEGMENTARIA MULTIPLE DE INTESTINO DELGADO SOD,591100,quirurgico,180.0,
466200,PLICATURA INTESTINAL [OPERACIÓN DE NOBLE] SOD,456100,quirurgico,140.0,
467802,"CORRECCIÓN DE ATRESIA DE DUODENO,YEYUNO E ILEON",466200,quirurgico,130.0,
467803,CORRECCIÓN DE ATRESIAS INTESTINALES MULTIPLES NCOC,467802,quirurgico,180.0,
410100,TRASPLANTE AUTOLOGO DE MEDULA OSEA SOD (19),467803,quirurgico,2500.0,
410200,TRANSPLANTE ALOGENICO DE MEDULA OSEA CON PURIFICACION SOD (19),410100,quirurgico,2500.0,
410300,TRASPLANTE ALOGENICO DE MEDULA OSEA SIN PURIFICACION SOD (19),410200,quirurgico,2500.0,
410400,TRASPLANTE AUTOLOGO DE CELULAS MADRES HEMATOPOYETICAS SOD (19),410300,quirurgico,2500.0,
488101,DRENAJE DE COLECCION RECTAL,08101,quirurgico,60.0,
488102,"DRENAJE DE COLECCION PERIRRECTAL, RETRORECTAL O PÉLVICA",488101,quirurgico,60.0,
483801,EXTRACCIÓN DE CUERPO EXTRAÑO EN RECTO POR VÍA RECTAL ABIERTA,488102,quirurgico,50.0,
483802,EXTRACCIÓN DE CUERPO EXTRAÑO EN RECTO POR VÍA ABDOMINAL,483801,quirurgico,120.0,
963800,EXTRACCION DIGITAL O MANUAL DE HECES IMPACTADAS SOD,483802,quirurgico,60.0,
483100,"ABLACION DE LESION O TEJIDO RECTAL POR DIATERMIA, CRIO O ELECTROCOAGULACION SOD",963800,quirurgico,30.0,
483200,ESCISION DE LA MUCOSA RECTAL SOD (209),483100,quirurgico,40.0,
487301,FISTULECTOMÍA RECTO-VAGINAL CON COLOSTOMÍA,483200,quirurgico,150.0,
487302,FISTULECTOMÍA RECTO-VESICAL CON COLOSTOMÍA,487301,quirurgico,150.0,
487303,FISTULECTOMÍA RECTO-URETRAL CON COLOSTOMÍA.,487302,quirurgico,150.0,
489300,REPARACION DE FISTULA PERIRRECTAL SOD,487303,quirurgico,150.0,
489200,MIOMECTOMÍA ANO-RECTAL SOD,489300,quirurgico,60.0,
486200,RESECCION ANTERIOR DE RECTO CON COLOSTOMIA SIMULTANEA SOD,489200,quirurgico,220.0,
486400,RESECCION POSTERIOR DE RECTO SOD,486200,quirurgico,130.0,
486500,RESECCION DE MUÑON RECTAL POST- DUHAMEL SOD,486400,quirurgico,130.0,
485301,PROCTOSIGMOIDECTOMÍA CON COLOSTOMÍA CON ABORDAJE PERINEAL,486500,quirurgico,250.0,
485100,"PROTECTOMIA PARCIAL,VIA TRANS-SACRA [KRASKE] SOD",485301,quirurgico,180.0,
485400,PROCTECTOMÍA CON DESCENSO ABDOMINO-PERINEAL SOD,485100,quirurgico,240.0,
486700,RESECCIÓN DE TUMOR RECTAL POR VÍA TRANS-ANAL SOD,485400,quirurgico,100.0,
486101,RESECCIÓN DE TUMOR RECTAL POR PROCTECTOMÍA TRANS-SACRA O TRANS-COCCÍGEA,486700,quirurgico,180.0,
485200,PROTECTOMIA COMPLETA SOD,486101,quirurgico,180.0,
487602,"CORRECCIÓN DE PROLAPSO POR RESECCIÓN DE PROCIDENCIA RECTAL CON ANASTOMOSIS, VÍA PERINEAL",485200,quirurgico,180.0,
487500,PROCTOPEXIA ABDOMINAL SOD,487602,quirurgico,130.0,
487601,PROCTOSIGMOIDOPEXIA,487500,quirurgico,150.0,
486800,RESECCION RECTO CON RECONSTRUCCION TIPO PULL-THROUGH SOD,487601,quirurgico,120.0,
480100,PROCTOTOMIA POR VIA ABDOMINAL O PERINEAL SOD,486800,quirurgico,100.0,
487901,REPARACION DE LESION OBSTETRICA ANTIGUA DE RECTO,480100,quirurgico,100.0,
487100,SUTURA DE LACERACION DE RECTO (PROCTORRAFIA) SOD,487901,quirurgico,100.0,
487904,CORRECCIÓN DE LA ESTENOSIS RECTAL VÍA SAGITAL POSTERIOR,487100,quirurgico,60.0,
487905,REPARACION DE LA ESTENOSIS RECTAL CON RESECCIÓN DE ANILLO RECTAL,487904,quirurgico,60.0,
489100,INCISION DE ESTENOSIS RECTAL SOD,487905,quirurgico,60.0,
487701,DESCENSO RECTAL VÍA SAGITAL POSTERIOR,489100,quirurgico,300.0,
487702,DESCENSO RECTAL VÍA ANTERIOR Y POSTERIOR,487701,quirurgico,300.0,
487703,DESCENSO RECTAL ABDOMINOPERINEAL POR AGANGLIOSIS,487702,quirurgico,300.0,
490100,DRENAJE DE ABSCESO ISQUIORRECTAL SOD,08200,quirurgico,60.0,
490200,DRENAJE DE ABSCESO PERIANAL SOD,490100,quirurgico,60.0,
495100,ESFINTEROTOMIA ANAL LATERAL SOD,490200,quirurgico,60.0,
495200,ESFINTEROTOMIA ANAL POSTERIOR SOD,495100,quirurgico,60.0,
491100,FISTULOTOMIA ANAL SOD,495200,quirurgico,60.0,
490400,ESCISION DE LESION O TEJIDO PERIANAL SOD,491100,quirurgico,80.0,
491200,FISTULECTOMÍA ANAL Y/O PERIANAL SOD,490400,quirurgico,80.0,
490700,RESECCIÓN DE FISURA ANAL (FISURECTOMÍA) SOD (20),491200,quirurgico,70.0,
493100,"ABLACION DE LESIÓN DE ANO POR DIATERMIA, CRIO O ELECTROCOAGULACION SOD",490700,quirurgico,70.0,
494602,ESCISION DE HEMORROIDES EXTERNAS,493100,quirurgico,50.0,
494601,ESCISION DE HEMORROIDES INTERNAS (20),494602,quirurgico,100.0,
494700,EVACUACION DE HEMORROIDES TROMBOSADAS SOD,494601,quirurgico,40.0,
497100,SUTURA DE LACERACION O DESGARRO DE ANO SOD (80),494700,quirurgico,30.0,
499500,CONTROL DE HEMORRAGIA (POSOPERATORIA) DE ANO SOD,497100,quirurgico,30.0,
497504,ANOPLASTIA POR ESTENOSIS (80),499500,quirurgico,80.0,
497503,ESFINTEROPLASTIA ANAL (80),497504,quirurgico,90.0,
495300,ESFINTEROTOMÍA ANAL CON COLOSTOMÍA SOD,497503,quirurgico,120.0,
487903,"CORRECCIÓN DE ATRESIA RECTAL, VIA SAGITAL POSTERIOR",495300,quirurgico,120.0,
499100,INCISION DE TABIQUE ANAL SOD,487903,quirurgico,80.0,
497501,"CONSTRUCCIÓN DE ANO, POR AGENESIA CONGÉNITA",499100,quirurgico,190.0,
497502,"RECONSTRUCCIÓN DE ANO, POR ATRESIA ANAL",497501,quirurgico,190.0,
487902,REPARACION DE RECTO PROLAPSADO POR INFILTRACIÓN PERIRRECTAL,497502,quirurgico,60.0,
497401,"TRANSPOSICION DEL MUSCULO RECTO INTERNO PARA INCONTINENCIA ANAL, VIA SAGITAL POSTERIOR",487902,quirurgico,90.0,
499400,REDUCCION DE PROLAPSO ANAL SOD,497401,quirurgico,60.0,
499600,RETIRO DE MATERIAL DE CERCLAJE SOD,499400,quirurgico,20.0,
497505,CORRECCIÓN DE ANO IMPERFORADO Y FISTULA RECTO-VAGINAL,499600,quirurgico,230.0,
497506,"CORRECCIÓN DE ANO IMPERFORADO Y FISTULA RECTO-VESICAL, VIA SAGITAL POSTERIOR",497505,quirurgico,230.0,
497507,"CORRECCIÓN DE ANO IMPERFORADO Y FISTULA RECTO-VESICAL, VIA COMBINADA",497506,quirurgico,230.0,
497508,CORRECCIÓN DE ANO IMPERFORADO Y FISTULA RECTO-URETRAL,497507,quirurgico,230.0,
497301,FISTULECTOMIA ANO-VESTIBULAR,497508,quirurgico,140.0,
497303,FISTULECTOMIA ANO-VAGINAL,497301,quirurgico,150.0,
497302,FISTULECTOMIA ANO-PERINEAL,497303,quirurgico,150.0,
497200,IMPLANTACION DE UN ANILLO EN LA CIRCUNFERENCIA ANAL (CERCLAJE) SOD,497302,quirurgico,55.0,
862102,MARSUPIALIZACION DE QUISTE PILONIDAL,08250,quirurgico,80.0,
862103,RESECCIÓN QUISTE PILONIDAL ( CIERRE PARCIAL O ESCISIÓN ABIERTA),862102,quirurgico,80.0,
550102,EXPLORACIÓN DE RIÑÓN POR NEFROTOMÍA,09101,quirurgico,110.0,
550103,NEFROLITOTOMÍA O EXTRACCIÓN DE CALCULO O CUERPO EXTRAÑO POR NEFROTOMÍA,550102,quirurgico,130.0,
550200,NEFROSTOMÍA VIA ABIERTA SOD,550103,quirurgico,80.0,
558201,CIERRE DE NEFROSTOMÍA O PIELOSTOMÍA,550200,quirurgico,120.0,
551110,EXPLORACIÓN DE PELVIS RENAL POR PIELOTOMÍA VIA ABIERTA,558201,quirurgico,115.0,
551120,EXTRACCIÓN DE CUERPO EXTRAÑO Y/O CALCULO POR PIELOTOMÍA,551110,quirurgico,115.0,
551210,PIELOSTOMIA O INSERCIÓN DE TUBO PARA DRENAJE DE PELVIS RENAL,551120,quirurgico,80.0,
551140,EXTRACCION DE CALCULO CORALIFORME POR PIELOTOMÍA,551210,quirurgico,200.0,
550104,DRENAJE DE COLECCION RENAL POR NEFROTOMÍA,551140,quirurgico,80.0,
590400,INCISIÓN Y DRENAJE DE COLECCIÓN PERIRENAL SOD,550104,quirurgico,80.0,
541501,EXPLORACION DE ESPACIO RETROPERITONEAL,590400,quirurgico,80.0,
590100,EXPLORACIÓN RETROPERITONEAL (LUMBOTOMÍA EXPLORADORA) SOD,541501,quirurgico,80.0,
554200,RESECCIÓN DE POLO RENAL SOD,590100,quirurgico,220.0,
554400,RESECCIÓN EN CUÑA DE RIÑÓN SOD,554200,quirurgico,220.0,
555200,NEFRECTOMÍA DE RIÑÓN RESIDUAL O UNICO SOD,554400,quirurgico,200.0,
555300,REMOCIÓN DE RIÑÓN TRANSPLANTADO O RECHAZADO SOD,555200,quirurgico,200.0,
555600,NEFRECTOMÍA SIMPLE ( UNILATERAL TOTAL) SOD (210),555300,quirurgico,200.0,
555102,NEFRO-URETERECTOMÍA TOTAL (UNILATERAL),555600,quirurgico,200.0,
555101,NEFRO-URETERECTOMÍA CON SEGMENTO DE VEJIGA,555102,quirurgico,220.0,
553120,DIVERTICULECTOMÍA U OBLITERACION DE DIVERTICULO DE CALIZ,555101,quirurgico,155.0,
558620,ANASTOMOSIS PIELO-URETERO-VESICAL,553120,quirurgico,100.0,
558630,ANASTOMOSIS URETERO CALICIAL O NEFROCALICOSTOMÍA,558620,quirurgico,100.0,
558101,NEFRORRAFIA O SUTURA DE LACERACION RENAL,558630,quirurgico,110.0,
558701,PIELOPLASTIA VIA ABIERTA,558101,quirurgico,200.0,
558310,CIERRE DE FISTULA NEFROVISCERAL NCOC,558701,quirurgico,130.0,
550101,MARSUPIALIZACION DE QUISTE RENAL POR NEFROTOMÍA,558310,quirurgico,80.0,
553101,ESCISION LOCAL O ABLACIÓN DE LESION RENAL VIA ABIERTA,550101,quirurgico,80.0,
557000,NEFROPEXIA SOD,553101,quirurgico,80.0,
558500,SINFISIOTOMÍA DE RIÑÓN EN HERRADURA SOD,557000,quirurgico,125.0,
549001,COLOCACION DE CATETER PARA DIALISIS PERITONEAL,558500,quirurgico,70.0,
392701,FORMACION DE FISTULA AV (PERIFERICA) PARA DIALISIS RENAL,549001,quirurgico,130.0,
392702,FORMACION DE FISTULA AV (PERIFERICA) PARA DIALISIS RENAL CON PROTESIS [DERIVACION AV POR CANULA EXTERNA DE SCRIBNER] [INSERCION DE CANULA VASO A VASO],392701,quirurgico,130.0,
399400,SUSTITUCION O REVISION DE CANULA VASO A VASO SOD,392702,quirurgico,60.0,
389101,IMPLANTACION DE CATETER VENOSO SUBCLAVIO O FEMORAL (415),399400,quirurgico,50.0,
389500,CATETERIZACION VENOSA PARA DIALISIS RENAL SOD,389101,quirurgico,50.0,
549012,RETIRO DE CATETER PERMANENTE PARA HEMODIALISIS,389500,quirurgico,40.0,
549013,RETIRO DE CATETER PERITONEAL NCOC,549012,quirurgico,40.0,
395301,"REPARACION DE FISTULA ARTERIOVENOSA POR LIGADURA, RESECCION O SUTURA",549013,quirurgico,140.0,
549002,INSERCION DE CATETER PERMANENTE PARA HEMODIALISIS,395301,quirurgico,100.0,
556100,AUTOTRANSPLANTE RENAL SOD,549002,quirurgico,1100.0,
556200,TRANSPLANTE DE RIÑON DE DONANTE SOD,556100,quirurgico,1100.0,
555601,NEFRECTOMIA (OBTENCIÓN DE ORGANO) (24),556200,quirurgico,800.0,
561101,MEATOTOMÍA URETERAL VIA ABIERTA,09202,quirurgico,60.0,
562101,EXPLORACIÓN DE URÉTER POR URETEROTOMIA (VIA ABIERTA),561101,quirurgico,100.0,
562201,URETEROLITOTOMÍA POR URETEROTOMIA (VIA ABIERTA),562101,quirurgico,110.0,
564120,ESCISIÓN DE LESION URETERAL Y/O PARA URETERAL (212),562201,quirurgico,110.0,
568942,RESECCIÓN ENDOSCOPICA DE URETEROCELE,09211,quirurgico,60.0,
568941,RESECCIÓN DE URETEROCELE Y REIMPLANTE DE URETER IPSILATERAL VIA ABIERTA,568942,quirurgico,180.0,
568300,CIERRE DE URETEROSTOMÍA SOD,568941,quirurgico,120.0,
568410,CIERRE DE FÍSTULA URETERO-ENTÉRICA O URETEROVISCERAL,568300,quirurgico,120.0,
564200,URETERECTOMIA TOTAL O RESIDUAL SOD,568410,quirurgico,80.0,
566000,URETEROSTOMÍA CUTÁNEA SOD,564200,quirurgico,120.0,
558640,NEFROENTEROSTOMÍA CUTÁNEA,566000,quirurgico,170.0,
565600,URETEROENTEROSTOMÍA CUTÁNEA SOD,558640,quirurgico,130.0,
565610,URETEROCOLOSTOMÍA,565600,quirurgico,170.0,
565710,URETERONEOPROCTOSTOMÍA (ANASTOMOSIS DE URÉTERES A RECTO AISLADO IN SITU ) [OPERACIÓN DE HEINZ-BOYER],565610,quirurgico,180.0,
565201,URETEROSIGMOIDOSTOMÍA SOD,565710,quirurgico,170.0,
565101,URETEROILEOSTOMÍA CUTÁNEA [CIRUGIA DE BRICKER] [ VEJIGA ILEAL],565201,quirurgico,180.0,
565200,FORMACIÓN DE CONDUCTO COLÓNICO CON TUNELIZACIÓN DE URETER SOD,565101,quirurgico,180.0,
565410,URETERONEOCECOCISTOPLASTIA,565200,quirurgico,180.0,
568970,REEMPLAZO DE URETER CON SEGMENTO ILEAL IMPLANTADO EN VEJIGA,565410,quirurgico,180.0,
567440,URETERONEOCISTOSTOMÍA POR ANASTOMOSIS O REIMPLANTACIÓN URÉTEROVESICAL,568970,quirurgico,180.0,
567460,REANASTOMOSIS URETERO-VESICAL,567440,quirurgico,180.0,
567441,URETERONEOCISTOSTOMIA CON TECNICA DE ALARGAMIENTO VESICAL (CON COLGAJO O PLIEGUE VESICAL),567460,quirurgico,180.0,
567500,TRANSURETERO-URETEROSTOMÍA SOD,567441,quirurgico,120.0,
558800,LIBERACIÓN DE ADHERENCIAS PIÉLICAS O URETEROPIÉLICAS SOD,567500,quirurgico,100.0,
590300,URETEROLISIS O PIELOURETEROLISIS (LIBERACION DE ADHERENCIAS PERIURETERALES Y PERICALICIALES) SOD,558800,quirurgico,100.0,
590200,URETEROLISIS CON LIBERACIÓN O REPOSICIONAMIENTO DE URETER SOD,590300,quirurgico,100.0,
564130,ACORTAMIENTO O REMODELACIÓN DE URETER CON REIMPLANTACIÓN URETEROVESICAL,590200,quirurgico,130.0,
568700,URETEROPLASTIA O ANASTOMOSIS TERMINO-TERMINAL SOD,564130,quirurgico,130.0,
568200,SUTURA DE LACERACIÓN DE URETER O URETERORRAFIA SOD,568700,quirurgico,110.0,
571101,EXTRACCIÓN DE CUERPO EXTRAÑO O CÁLCULO EN VEJIGA POR CISTOTOMIA (VÍA ABIERTA) (155),568200,quirurgico,80.0,
571210,CISTOSTOMIA ABIERTA,571101,quirurgico,100.0,
576060,RESECCION DE CUELLO VESICAL TRANSVESICAL,09320,quirurgico,100.0,
575201,ENDOMETRECTOMÍA DE VEJIGA,576060,quirurgico,100.0,
575202,"RESECCION O FULGURACION SUPRAPÚBICA DE LESIÓN VESICAL, POR VIA ABIERTA",575201,quirurgico,100.0,
579930,LIBERACIÓN DE ADHERENCIAS EN VEJIGA,575202,quirurgico,100.0,
576000,CISTECTOMIA PARCIAL POR VIA ABIERTA SOD,579930,quirurgico,140.0,
577005,CISTECTOMIA TOTAL CON URETRECTOMIA,576000,quirurgico,240.0,
577150,"ESCISIÓN O REMOCIÓN DE VEJIGA, URETRA Y TEJIDO GRASO EN MUJER (361)",577005,quirurgico,290.0,
578801,ANASTOMOSIS DE VEJIGA CON SEGMENTO INTESTINAL NCOC,577150,quirurgico,120.0,
578802,ANASTOMOSIS CISTOCÓLICA,578801,quirurgico,120.0,
577120,EXENTERACIÓN PÉLVICA MASCULINA (CON RECTO),578802,quirurgico,300.0,
688101,EXENTERACIÓN O EVISCERACIÓN PÉLVICA FEMENINA TOTAL O COMPLETA (156),577120,quirurgico,300.0,
688200,EXENTERACIÓN ANTERIOR: ÚTERO Y VEJIGA SOD,688101,quirurgico,250.0,
688300,EXENTERACIÓN POSTERIOR: ÚTERO Y RECTO SOD,688200,quirurgico,250.0,
578701,AMPLIACIÓN DE VEJIGA CON SEGMENTO AISLADO DE ILEON,688300,quirurgico,240.0,
578702,AMPLIACIÓN DE VEJIGA CON SEGMENTO DE COLON,578701,quirurgico,240.0,
578704,ILEO-CECO-CISTOPLASTIA,578702,quirurgico,240.0,
578900,CISTOPEXIA (SUSPENSIÓN VESICAL) SOD,578704,quirurgico,70.0,
595100,SUSPENSIÓN URETRAL RETROPUBICA SOD,578900,quirurgico,100.0,
595101,SUSPENSION URETRO VESICAL RETROPUBICA [MARSHALL-MARCHETTI-KRANZ],595100,quirurgico,150.0,
597101,CISTOURETROPEXIA CON CABESTRILLO (SUSPENSION DEL MUSCULO ELEVADOR),595101,quirurgico,110.0,
597910,URETROPEXIA ANTERIOR,597101,quirurgico,90.0,
597104,CISTOURETROPEXIA VAGINAL,597910,quirurgico,55.0,
579301,CONTROL DE HEMORRAGIA (POSTQUIRÚRGICA) DE VEJIGA VIA ABIERTA,597104,quirurgico,150.0,
578302,FISTULECTOMIA VESICO-SIGMOIDO-VAGINAL,579301,quirurgico,135.0,
578401,FISTULECTOMIA CERVICO-VESICAL,578302,quirurgico,135.0,
578450,FISTULECTOMIA URETRO-PERINEO-VESICAL,578401,quirurgico,135.0,
578402,FISTULECTOMIA VÉSICO-VAGINAL,578450,quirurgico,135.0,
578403,FISTULECTOMIA UTERO-VESICAL (VESICOUTERINA),578402,quirurgico,135.0,
578100,SUTURA DE LACERACIÓN O DESGARRO VESICAL (CISTORRAFIA) SOD,578403,quirurgico,100.0,
572101,VESICOSTOMÍA [CUTANEA],578100,quirurgico,120.0,
578600,REPARACION DE EXTROFIA VESICAL SOD,572101,quirurgico,150.0,
591920,INCISIÓN Y DRENAJE DE COLECCIÓN EN TEJIDO PERIVESICAL Y ESPACIO DE RETZIUS,578600,quirurgico,70.0,
575101,RESECCIÓN DE SENO URACAL DE VEJIGA (URACOVESICAL) (213),591920,quirurgico,90.0,
575102,RESECCIÓN DE FISTULA URACAL,575101,quirurgico,90.0,
578201,CIERRE DE CISTOSTOMÍA [FISTULECTOMIA VÉSICO-CUTÁNEA],575102,quirurgico,95.0,
578202,CIERRE DE VESICOSTOMÍA,578201,quirurgico,50.0,
489500,CORRECCION DE CLOACA O DE EXTROFIA DE CLOACA SOD,578202,quirurgico,350.0,
580030,REMOCIÓN DE CÁLCULO Y/ O CUERPO EXTRAÑO URETRAL CON INCISIÓN,09401,quirurgico,75.0,
580100,URETROSTOMÍA SOD,580030,quirurgico,50.0,
580110,URETROSTOMÍA PERINEAL,580100,quirurgico,50.0,
580010,ESCISIÓN O ESCISIÓN DE TABIQUE URETRAL,580110,quirurgico,30.0,
583201,FULGURACION DE LESIONES URETRALES POR VIA ABIERTA,580010,quirurgico,30.0,
585000,URETROLISIS SOD,583201,quirurgico,30.0,
581010,MEATOTOMIA URETRAL EXTERNA,585000,quirurgico,30.0,
584700,MEATOPLASTIA URETRAL SOD,581010,quirurgico,30.0,
585010,MEATOTOMIA URETRAL INTERNA,584700,quirurgico,30.0,
